complaint_id,complaint_text,category
3726,"In Indiranagar, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. This is affecting our work and health on a daily basis. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
3727,"In Koramangala, a large portion of the road has sunk, and there is stagnant water collected, increasing the chances of accidents. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Road & Potholes
3728,"There is no proper timetable or digital display for bus timings in MG Road, so passengers have no idea when the next bus will come. Residents have complained multiple times but no proper action is taken. We would be grateful if this issue is treated as high priority.",Public Transport
3729,"There are frequent power cuts in Rajajinagar during office hours, and no proper schedule is communicated to the residents. Residents have complained multiple times but no proper action is taken. We request the concerned department to take immediate action.",Streetlights & Electricity
3730,"The bus stop in Hebbal has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.",Public Transport
3731,"In Electronic City, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. The situation is getting worse day by day and needs urgent attention. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
3732,"In Malleshwaram, garbage trucks have not come since yesterday morning. People are throwing waste on the roadside as there is no proper collection. This is affecting our work and health on a daily basis. Kindly look into this matter and resolve it as soon as possible.",Garbage & Sanitation
3733,"In MG Road, garbage trucks have not come for the past 10 days. People are throwing waste on the roadside as there is no proper collection. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.",Garbage & Sanitation
3734,"Loudspeakers from a function hall in Indiranagar are playing music at very high volume late at night, disturbing the entire neighborhood. This is causing inconvenience to office-goers and school children. We request the concerned department to take immediate action.",Noise & Pollution
3735,"After the recent rains, the road surface in Jayanagar has completely worn out, and there are cracks and uneven patches everywhere. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Road & Potholes
3736,"There is no proper speed breaker near the school zone in Koramangala, and vehicles are moving at high speed, posing a danger to children. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.",Road & Potholes
3737,The main road in Whitefield is full of deep potholes for almost a week. Vehicles are getting damaged and it is very risky for two-wheelers. The situation is getting worse day by day and needs urgent attention. Kindly address this problem before it leads to any serious incident.,Road & Potholes
3738,"There is a major leakage in the main water pipeline near Banashankari, resulting in wastage of thousands of litres of water every day. Many people in the neighborhood are very frustrated with this issue. Please send a team to inspect the problem and fix it at the earliest.",Water Supply
3739,"Construction work on the road in Hebbal has been left incomplete for more than two weeks, causing huge traffic jams and inconvenience. This is causing inconvenience to office-goers and school children. Kindly address this problem before it leads to any serious incident.",Road & Potholes
3740,"In Hebbal, construction work continues during peak traffic time, including weekends, causing constant noise and stress for people living nearby. Many people in the neighborhood are very frustrated with this issue. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
3741,"There is no proper timetable or digital display for bus timings in BTM Layout, so passengers have no idea when the next bus will come. This is affecting our work and health on a daily basis. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
3742,"Electric wires are hanging very low from the electric poles in Malleshwaram, creating a serious safety hazard for people walking nearby. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.",Streetlights & Electricity
3743,"There is a major leakage in the main water pipeline near Hebbal, resulting in wastage of thousands of litres of water every day. Many people in the neighborhood are very frustrated with this issue. We request the concerned department to take immediate action.",Water Supply
3744,Uncollected garbage is piling up on the streets in Koramangala since yesterday morning. The overflowing dustbins are attracting stray animals and insects. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.,Garbage & Sanitation
3745,"Buses starting from BTM Layout are always overcrowded during office hours, making it difficult for elderly people and women to board. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
3746,"There are frequent power cuts in Banashankari in the evening, and no proper schedule is communicated to the residents. It is becoming very difficult for us to manage our daily routine. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
3747,"There is a major leakage in the main water pipeline near Electronic City, resulting in wastage of thousands of litres of water every day. This is affecting our work and health on a daily basis. Please send a team to inspect the problem and fix it at the earliest.",Water Supply
3748,"There is no proper timetable or digital display for bus timings in BTM Layout, so passengers have no idea when the next bus will come. Residents have complained multiple times but no proper action is taken. Kindly address this problem before it leads to any serious incident.",Public Transport
3749,"There is a major leakage in the main water pipeline near Jayanagar, resulting in wastage of thousands of litres of water every day. This is causing inconvenience to office-goers and school children. We would be grateful if this issue is treated as high priority.",Water Supply
3750,"Loudspeakers from a function hall in Koramangala are playing music at very high volume in the evening, disturbing the entire neighborhood. Residents have complained multiple times but no proper action is taken. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
3751,"Loudspeakers from a function hall in Banashankari are playing music at very high volume during peak traffic time, disturbing the entire neighborhood. Residents have complained multiple times but no proper action is taken. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
3752,"Streetlights in Whitefield have not been working for over a month now, and the entire stretch becomes pitch dark after sunset. Many people in the neighborhood are very frustrated with this issue. Kindly look into this matter and resolve it as soon as possible.",Streetlights & Electricity
3753,"Residents of BTM Layout have noticed that garbage is being burned in an open plot around midnight, creating a lot of smoke and health issues. This is causing inconvenience to office-goers and school children. We would be grateful if this issue is treated as high priority.",Garbage & Sanitation
3754,"There are very few buses available from Koramangala early in the morning, and passengers are forced to wait for a long time at the bus stop. Many people in the neighborhood are very frustrated with this issue. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
3755,"In Whitefield, garbage trucks have not come for the past 10 days. People are throwing waste on the roadside as there is no proper collection. This is causing inconvenience to office-goers and school children. Please treat this as an urgent civic issue and resolve it quickly.",Garbage & Sanitation
3756,"In Jayanagar, wet and dry waste are not being collected separately, leading to a huge mess and mixing of all kinds of waste. It is becoming very difficult for us to manage our daily routine. We request the concerned department to take immediate action.",Garbage & Sanitation
3757,"There is a major leakage in the main water pipeline near Hebbal, resulting in wastage of thousands of litres of water every day. Senior citizens and children are facing a lot of problems. Please treat this as an urgent civic issue and resolve it quickly.",Water Supply
3758,"In Hebbal, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. It is becoming very difficult for us to manage our daily routine. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
3759,"Residents of Whitefield have noticed that garbage is being burned in an open plot during peak traffic time, creating a lot of smoke and health issues. Because of this issue, people are scared to go out after dark. Please send a team to inspect the problem and fix it at the earliest.",Garbage & Sanitation
3760,"In Jayanagar, construction work continues during office hours, including weekends, causing constant noise and stress for people living nearby. Many people in the neighborhood are very frustrated with this issue. Kindly address this problem before it leads to any serious incident.",Noise & Pollution
3761,"In Banashankari, garbage trucks have not come since last night. People are throwing waste on the roadside as there is no proper collection. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.",Garbage & Sanitation
3762,"Open garbage dumping near the residential area in Basavanagudi is causing a foul smell and unhygienic conditions. Because of this issue, people are scared to go out after dark. Kindly register this as a complaint and share the action taken details.",Garbage & Sanitation
3763,"In Banashankari, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Water Supply
3764,"Electric wires are hanging very low from the electric poles in Koramangala, creating a serious safety hazard for people walking nearby. This is causing inconvenience to office-goers and school children. Kindly address this problem before it leads to any serious incident.",Streetlights & Electricity
3765,"The road in Malleshwaram is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. Senior citizens and children are facing a lot of problems. Kindly address this problem before it leads to any serious incident.",Noise & Pollution
3766,"There are very few buses available from Indiranagar around midnight, and passengers are forced to wait for a long time at the bus stop. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Public Transport
3767,Auto drivers operating from Malleshwaram are refusing to go by meter and are charging very high fares from passengers. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.,Public Transport
3768,"The transformer near Rajajinagar is making a loud buzzing noise during peak traffic time, and people fear it might be faulty or overloaded. Because of this issue, people are scared to go out after dark. Kindly look into this matter and resolve it as soon as possible.",Streetlights & Electricity
3769,"A small factory near Banashankari is releasing dark smoke and foul smell in the evening, severely affecting the air quality in the locality. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Noise & Pollution
3770,"In Banashankari, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. The situation is getting worse day by day and needs urgent attention. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
3771,"People in Koramangala are burning dry leaves and plastic waste early in the morning, leading to thick smoke and breathing problems for residents. Senior citizens and children are facing a lot of problems. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
3772,"Construction work on the road in Rajajinagar has been left incomplete for the past 10 days, causing huge traffic jams and inconvenience. Because of this issue, people are scared to go out after dark. Kindly address this problem before it leads to any serious incident.",Road & Potholes
3773,"There are frequent power cuts in Rajajinagar early in the morning, and no proper schedule is communicated to the residents. This is causing inconvenience to office-goers and school children. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
3774,"After the recent rains, the road surface in Sarjapur Road has completely worn out, and there are cracks and uneven patches everywhere. This is causing inconvenience to office-goers and school children. Please treat this as an urgent civic issue and resolve it quickly.",Road & Potholes
3775,"People in Sarjapur Road are burning dry leaves and plastic waste in the evening, leading to thick smoke and breathing problems for residents. The situation is getting worse day by day and needs urgent attention. We would be grateful if this issue is treated as high priority.",Noise & Pollution
3776,"The transformer near Banashankari is making a loud buzzing noise early in the morning, and people fear it might be faulty or overloaded. This is affecting our work and health on a daily basis. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
3777,"In Indiranagar, wet and dry waste are not being collected separately, leading to a huge mess and mixing of all kinds of waste. Because of this issue, people are scared to go out after dark. Kindly look into this matter and resolve it as soon as possible.",Garbage & Sanitation
3778,"The transformer near MG Road is making a loud buzzing noise early in the morning, and people fear it might be faulty or overloaded. This is affecting our work and health on a daily basis. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
3779,"The transformer near Hebbal is making a loud buzzing noise early in the morning, and people fear it might be faulty or overloaded. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Streetlights & Electricity
3780,Uncollected garbage is piling up on the streets in Indiranagar for over a month now. The overflowing dustbins are attracting stray animals and insects. This is causing inconvenience to office-goers and school children. Kindly address this problem before it leads to any serious incident.,Garbage & Sanitation
3781,"The road in Indiranagar is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. Residents have complained multiple times but no proper action is taken. Please send a team to inspect the problem and fix it at the earliest.",Noise & Pollution
3782,There has been no regular water supply in Malleshwaram for almost a week. People are struggling to manage even basic needs like drinking and cooking. The situation is getting worse day by day and needs urgent attention. Kindly address this problem before it leads to any serious incident.,Water Supply
3783,"There are frequent power cuts in Rajajinagar around midnight, and no proper schedule is communicated to the residents. It is becoming very difficult for us to manage our daily routine. We hope the authorities will respond soon and provide a permanent solution.",Streetlights & Electricity
3784,"Residents of Sarjapur Road have noticed that garbage is being burned in an open plot during office hours, creating a lot of smoke and health issues. It is becoming very difficult for us to manage our daily routine. We hope the authorities will respond soon and provide a permanent solution.",Garbage & Sanitation
3785,"Residents of MG Road have noticed that garbage is being burned in an open plot during peak traffic time, creating a lot of smoke and health issues. This is affecting our work and health on a daily basis. Please send a team to inspect the problem and fix it at the earliest.",Garbage & Sanitation
3786,"There are frequent power cuts in MG Road early in the morning, and no proper schedule is communicated to the residents. Senior citizens and children are facing a lot of problems. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
3787,"In Electronic City, wet and dry waste are not being collected separately, leading to a huge mess and mixing of all kinds of waste. Because of this issue, people are scared to go out after dark. Kindly address this problem before it leads to any serious incident.",Garbage & Sanitation
3788,"In Whitefield, wet and dry waste are not being collected separately, leading to a huge mess and mixing of all kinds of waste. Many people in the neighborhood are very frustrated with this issue. Kindly register this as a complaint and share the action taken details.",Garbage & Sanitation
3789,The main road in Banashankari is full of deep potholes for the past 10 days. Vehicles are getting damaged and it is very risky for two-wheelers. This is causing inconvenience to office-goers and school children. We hope the authorities will respond soon and provide a permanent solution.,Road & Potholes
3790,"In Banashankari, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.",Streetlights & Electricity
3791,"Loudspeakers from a function hall in Malleshwaram are playing music at very high volume in the morning, disturbing the entire neighborhood. It is becoming very difficult for us to manage our daily routine. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
3792,"There is no proper timetable or digital display for bus timings in Banashankari, so passengers have no idea when the next bus will come. Many people in the neighborhood are very frustrated with this issue. We hope the authorities will respond soon and provide a permanent solution.",Public Transport
3793,"A small factory near Rajajinagar is releasing dark smoke and foul smell late at night, severely affecting the air quality in the locality. Many people in the neighborhood are very frustrated with this issue. Please send a team to inspect the problem and fix it at the earliest.",Noise & Pollution
3794,"There are frequent power cuts in MG Road during office hours, and no proper schedule is communicated to the residents. Residents have complained multiple times but no proper action is taken. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
3795,Uncollected garbage is piling up on the streets in Banashankari for the last 2 days. The overflowing dustbins are attracting stray animals and insects. Residents have complained multiple times but no proper action is taken. Kindly address this problem before it leads to any serious incident.,Garbage & Sanitation
3796,Auto drivers operating from Koramangala are refusing to go by meter and are charging very high fares from passengers. Many people in the neighborhood are very frustrated with this issue. Please send a team to inspect the problem and fix it at the earliest.,Public Transport
3797,Uncollected garbage is piling up on the streets in Sarjapur Road since last night. The overflowing dustbins are attracting stray animals and insects. Many people in the neighborhood are very frustrated with this issue. Kindly register this as a complaint and share the action taken details.,Garbage & Sanitation
3798,"A small factory near Hebbal is releasing dark smoke and foul smell during peak traffic time, severely affecting the air quality in the locality. Because of this issue, people are scared to go out after dark. We request the concerned department to take immediate action.",Noise & Pollution
3799,"Electric wires are hanging very low from the electric poles in Hebbal, creating a serious safety hazard for people walking nearby. The situation is getting worse day by day and needs urgent attention. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
3800,"A small factory near MG Road is releasing dark smoke and foul smell during peak traffic time, severely affecting the air quality in the locality. It is becoming very difficult for us to manage our daily routine. We would be grateful if this issue is treated as high priority.",Noise & Pollution
3801,"In MG Road, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. It is becoming very difficult for us to manage our daily routine. We hope the authorities will respond soon and provide a permanent solution.",Streetlights & Electricity
3802,"The transformer near Sarjapur Road is making a loud buzzing noise in the evening, and people fear it might be faulty or overloaded. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.",Streetlights & Electricity
3803,"Water pressure in Rajajinagar is extremely low late at night, and the tanks do not get filled even after several hours. Senior citizens and children are facing a lot of problems. We request the concerned department to take immediate action.",Water Supply
3804,"The bus stop in Sarjapur Road has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. Senior citizens and children are facing a lot of problems. We request the concerned department to take immediate action.",Public Transport
3805,Open garbage dumping near the residential area in MG Road is causing a foul smell and unhygienic conditions. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.,Garbage & Sanitation
3806,The main road in Electronic City is full of deep potholes for the last 2 days. Vehicles are getting damaged and it is very risky for two-wheelers. Residents have complained multiple times but no proper action is taken. Kindly register this as a complaint and share the action taken details.,Road & Potholes
3807,"In Banashankari, wet and dry waste are not being collected separately, leading to a huge mess and mixing of all kinds of waste. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Garbage & Sanitation
3808,"There is no proper timetable or digital display for bus timings in Banashankari, so passengers have no idea when the next bus will come. This is affecting our work and health on a daily basis. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
3809,"People in Koramangala are burning dry leaves and plastic waste during peak traffic time, leading to thick smoke and breathing problems for residents. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
3810,"People in Hebbal are burning dry leaves and plastic waste around midnight, leading to thick smoke and breathing problems for residents. Because of this issue, people are scared to go out after dark. We would be grateful if this issue is treated as high priority.",Noise & Pollution
3811,"There are very few buses available from Yelahanka during office hours, and passengers are forced to wait for a long time at the bus stop. Senior citizens and children are facing a lot of problems. We hope the authorities will respond soon and provide a permanent solution.",Public Transport
3812,"Loudspeakers from a function hall in Electronic City are playing music at very high volume during peak traffic time, disturbing the entire neighborhood. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Noise & Pollution
3813,"Electric wires are hanging very low from the electric poles in Electronic City, creating a serious safety hazard for people walking nearby. Many people in the neighborhood are very frustrated with this issue. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
3814,"Uncollected garbage is piling up on the streets in Koramangala for many weeks continuously. The overflowing dustbins are attracting stray animals and insects. Because of this issue, people are scared to go out after dark. We request the concerned department to take immediate action.",Garbage & Sanitation
3815,"There is no proper timetable or digital display for bus timings in Jayanagar, so passengers have no idea when the next bus will come. The situation is getting worse day by day and needs urgent attention. We would be grateful if this issue is treated as high priority.",Public Transport
3816,"The bus stop in Jayanagar has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. Senior citizens and children are facing a lot of problems. We would be grateful if this issue is treated as high priority.",Public Transport
3817,"There are very few buses available from Malleshwaram late at night, and passengers are forced to wait for a long time at the bus stop. This is causing inconvenience to office-goers and school children. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
3818,"In Basavanagudi, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. The situation is getting worse day by day and needs urgent attention. Please treat this as an urgent civic issue and resolve it quickly.",Water Supply
3819,"In Electronic City, a large portion of the road has sunk, and there is stagnant water collected, increasing the chances of accidents. The situation is getting worse day by day and needs urgent attention. We request the concerned department to take immediate action.",Road & Potholes
3820,"The road in Banashankari is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. It is becoming very difficult for us to manage our daily routine. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
3821,"In Koramangala, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Water Supply
3822,"The transformer near Koramangala is making a loud buzzing noise during peak traffic time, and people fear it might be faulty or overloaded. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
3823,There has been no regular water supply in Jayanagar for more than two weeks. People are struggling to manage even basic needs like drinking and cooking. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.,Water Supply
3824,"Construction work on the road in Rajajinagar has been left incomplete since yesterday morning, causing huge traffic jams and inconvenience. Senior citizens and children are facing a lot of problems. We hope the authorities will respond soon and provide a permanent solution.",Road & Potholes
3825,"There are frequent power cuts in Jayanagar in the evening, and no proper schedule is communicated to the residents. This is causing inconvenience to office-goers and school children. We hope the authorities will respond soon and provide a permanent solution.",Streetlights & Electricity
3826,Auto drivers operating from Banashankari are refusing to go by meter and are charging very high fares from passengers. The situation is getting worse day by day and needs urgent attention. We would be grateful if this issue is treated as high priority.,Public Transport
3827,"In Koramangala, garbage trucks have not come since last night. People are throwing waste on the roadside as there is no proper collection. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.",Garbage & Sanitation
3828,"Residents of Koramangala have noticed that garbage is being burned in an open plot during peak traffic time, creating a lot of smoke and health issues. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.",Garbage & Sanitation
3829,"There are frequent power cuts in Indiranagar early in the morning, and no proper schedule is communicated to the residents. Residents have complained multiple times but no proper action is taken. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
3830,"In Sarjapur Road, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. It is becoming very difficult for us to manage our daily routine. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
3831,"In Whitefield, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. This is causing inconvenience to office-goers and school children. Kindly register this as a complaint and share the action taken details.",Water Supply
3832,Auto drivers operating from Banashankari are refusing to go by meter and are charging very high fares from passengers. Residents have complained multiple times but no proper action is taken. Please send a team to inspect the problem and fix it at the earliest.,Public Transport
3833,"The road in Basavanagudi is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. The situation is getting worse day by day and needs urgent attention. We request the concerned department to take immediate action.",Noise & Pollution
3834,"There are very few buses available from Yelahanka during office hours, and passengers are forced to wait for a long time at the bus stop. Many people in the neighborhood are very frustrated with this issue. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
3835,"There are very few buses available from Rajajinagar early in the morning, and passengers are forced to wait for a long time at the bus stop. Many people in the neighborhood are very frustrated with this issue. Please send a team to inspect the problem and fix it at the earliest.",Public Transport
3836,"People in BTM Layout are burning dry leaves and plastic waste during office hours, leading to thick smoke and breathing problems for residents. It is becoming very difficult for us to manage our daily routine. Kindly look into this matter and resolve it as soon as possible.",Noise & Pollution
3837,There has been no regular water supply in Sarjapur Road since last night. People are struggling to manage even basic needs like drinking and cooking. Many people in the neighborhood are very frustrated with this issue. Kindly address this problem before it leads to any serious incident.,Water Supply
3838,"The bus stop in Rajajinagar has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. This is affecting our work and health on a daily basis. We hope the authorities will respond soon and provide a permanent solution.",Public Transport
3839,"In Whitefield, a large portion of the road has sunk, and there is stagnant water collected, increasing the chances of accidents. Many people in the neighborhood are very frustrated with this issue. We would be grateful if this issue is treated as high priority.",Road & Potholes
3840,There has been no regular water supply in Banashankari for the past 10 days. People are struggling to manage even basic needs like drinking and cooking. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.,Water Supply
3841,"Residents of Rajajinagar have noticed that garbage is being burned in an open plot around midnight, creating a lot of smoke and health issues. This is causing inconvenience to office-goers and school children. Kindly address this problem before it leads to any serious incident.",Garbage & Sanitation
3842,"People in Basavanagudi are burning dry leaves and plastic waste during peak traffic time, leading to thick smoke and breathing problems for residents. Because of this issue, people are scared to go out after dark. Kindly look into this matter and resolve it as soon as possible.",Noise & Pollution
3843,"Electric wires are hanging very low from the electric poles in Rajajinagar, creating a serious safety hazard for people walking nearby. It is becoming very difficult for us to manage our daily routine. We hope the authorities will respond soon and provide a permanent solution.",Streetlights & Electricity
3844,"People in Malleshwaram are burning dry leaves and plastic waste early in the morning, leading to thick smoke and breathing problems for residents. It is becoming very difficult for us to manage our daily routine. We request the concerned department to take immediate action.",Noise & Pollution
3845,Open garbage dumping near the residential area in Indiranagar is causing a foul smell and unhygienic conditions. This is affecting our work and health on a daily basis. Kindly look into this matter and resolve it as soon as possible.,Garbage & Sanitation
3846,"The transformer near Basavanagudi is making a loud buzzing noise around midnight, and people fear it might be faulty or overloaded. The situation is getting worse day by day and needs urgent attention. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
3847,"Residents of Jayanagar have noticed that garbage is being burned in an open plot in the morning, creating a lot of smoke and health issues. The situation is getting worse day by day and needs urgent attention. We would be grateful if this issue is treated as high priority.",Garbage & Sanitation
3848,"There is a major leakage in the main water pipeline near Whitefield, resulting in wastage of thousands of litres of water every day. The situation is getting worse day by day and needs urgent attention. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
3849,"There has been no regular water supply in Electronic City for the past 10 days. People are struggling to manage even basic needs like drinking and cooking. Because of this issue, people are scared to go out after dark. Kindly address this problem before it leads to any serious incident.",Water Supply
3850,The main road in Koramangala is full of deep potholes for the past 10 days. Vehicles are getting damaged and it is very risky for two-wheelers. Many people in the neighborhood are very frustrated with this issue. Kindly look into this matter and resolve it as soon as possible.,Road & Potholes
3851,"Open garbage dumping near the residential area in Banashankari is causing a foul smell and unhygienic conditions. Because of this issue, people are scared to go out after dark. We would be grateful if this issue is treated as high priority.",Garbage & Sanitation
3852,"Residents of Jayanagar have noticed that garbage is being burned in an open plot during peak traffic time, creating a lot of smoke and health issues. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.",Garbage & Sanitation
3853,"The transformer near Indiranagar is making a loud buzzing noise around midnight, and people fear it might be faulty or overloaded. The situation is getting worse day by day and needs urgent attention. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
3854,"There is no proper speed breaker near the school zone in Electronic City, and vehicles are moving at high speed, posing a danger to children. Because of this issue, people are scared to go out after dark. We request the concerned department to take immediate action.",Road & Potholes
3855,"There is no proper timetable or digital display for bus timings in Sarjapur Road, so passengers have no idea when the next bus will come. Senior citizens and children are facing a lot of problems. We would be grateful if this issue is treated as high priority.",Public Transport
3856,"There is no proper timetable or digital display for bus timings in Malleshwaram, so passengers have no idea when the next bus will come. The situation is getting worse day by day and needs urgent attention. We hope the authorities will respond soon and provide a permanent solution.",Public Transport
3857,Auto drivers operating from Basavanagudi are refusing to go by meter and are charging very high fares from passengers. Residents have complained multiple times but no proper action is taken. We would be grateful if this issue is treated as high priority.,Public Transport
3858,"Loudspeakers from a function hall in Indiranagar are playing music at very high volume in the evening, disturbing the entire neighborhood. Many people in the neighborhood are very frustrated with this issue. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
3859,"There are very few buses available from Sarjapur Road in the evening, and passengers are forced to wait for a long time at the bus stop. Many people in the neighborhood are very frustrated with this issue. We would be grateful if this issue is treated as high priority.",Public Transport
3860,"The transformer near Hebbal is making a loud buzzing noise around midnight, and people fear it might be faulty or overloaded. Residents have complained multiple times but no proper action is taken. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
3861,"Water pressure in BTM Layout is extremely low during peak traffic time, and the tanks do not get filled even after several hours. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Water Supply
3862,"Auto drivers operating from Hebbal are refusing to go by meter and are charging very high fares from passengers. Because of this issue, people are scared to go out after dark. We request the concerned department to take immediate action.",Public Transport
3863,"In Rajajinagar, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. Because of this issue, people are scared to go out after dark. We would be grateful if this issue is treated as high priority.",Water Supply
3864,"There is no proper speed breaker near the school zone in Sarjapur Road, and vehicles are moving at high speed, posing a danger to children. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Road & Potholes
3865,"Loudspeakers from a function hall in Koramangala are playing music at very high volume during office hours, disturbing the entire neighborhood. Residents have complained multiple times but no proper action is taken. Please send a team to inspect the problem and fix it at the earliest.",Noise & Pollution
3866,"There is a major leakage in the main water pipeline near MG Road, resulting in wastage of thousands of litres of water every day. Senior citizens and children are facing a lot of problems. Kindly register this as a complaint and share the action taken details.",Water Supply
3867,"A small factory near Rajajinagar is releasing dark smoke and foul smell late at night, severely affecting the air quality in the locality. It is becoming very difficult for us to manage our daily routine. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
3868,"In BTM Layout, construction work continues during peak traffic time, including weekends, causing constant noise and stress for people living nearby. This is causing inconvenience to office-goers and school children. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
3869,"Loudspeakers from a function hall in Hebbal are playing music at very high volume late at night, disturbing the entire neighborhood. The situation is getting worse day by day and needs urgent attention. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
3870,"There are very few buses available from MG Road in the morning, and passengers are forced to wait for a long time at the bus stop. Because of this issue, people are scared to go out after dark. Kindly register this as a complaint and share the action taken details.",Public Transport
3871,"A small factory near Basavanagudi is releasing dark smoke and foul smell in the evening, severely affecting the air quality in the locality. This is affecting our work and health on a daily basis. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
3872,"In BTM Layout, garbage trucks have not come for almost a week. People are throwing waste on the roadside as there is no proper collection. Senior citizens and children are facing a lot of problems. Please send a team to inspect the problem and fix it at the earliest.",Garbage & Sanitation
